time,metric,value,if_score
2026-05-01 02:15:00+00:00,M378,64.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M392,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M419,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M430,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M452,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M474,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M475,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M490,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M494,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M516,18.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M520,2596.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M529,1.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M609,14.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M610,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M618,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M658,60.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M688,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M696,1168.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M719,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M736,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M767,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M779,20.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M786,95.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M841,2.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M843,1.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M855,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M874,243.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M899,1.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M904,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M965,21.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M971,4117.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M972,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M991,0.0,-0.07608869218384395
2026-05-01 02:20:00+00:00,M029,1.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M037,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M104,6.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M162,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M164,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M185,43.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M204,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M238,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M265,13.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M318,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M336,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M348,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M362,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M378,74.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M392,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M419,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M430,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M452,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M474,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M475,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M490,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M494,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M516,8.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M520,2714.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M529,1.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M609,5.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M610,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M618,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M658,74.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M688,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M696,1155.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M719,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M736,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M767,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M779,15.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M786,98.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M841,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M843,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M855,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M874,306.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M899,1.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M904,1.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M965,2.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M971,4244.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M972,0.0,-0.06833293463062329
2026-05-01 02:20:00+00:00,M991,0.0,-0.06833293463062329
2026-05-01 02:35:00+00:00,M029,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M037,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M104,4.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M162,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M164,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M185,51.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M204,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M238,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M265,3.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M318,0.0,-0.07503193171330369
