time,metric,value,z_score
2026-06-03 06:50:00+00:00,M475,1,3.9861637392558062
2026-06-03 07:05:00+00:00,M843,1,5.807053316353087
2026-06-03 07:10:00+00:00,M475,1,3.9861637392558062
2026-06-03 07:10:00+00:00,M965,46,3.8457974962385086
2026-06-03 07:30:00+00:00,M475,1,3.9861637392558062
2026-06-03 07:30:00+00:00,M490,1,3.6280130488296627
2026-06-03 07:35:00+00:00,M965,46,3.8457974962385086
2026-06-03 07:50:00+00:00,M475,1,3.9861637392558062
2026-06-03 08:00:00+00:00,M965,42,3.351994399686776
2026-06-03 08:15:00+00:00,M965,44,3.5988959479626423
2026-06-03 08:40:00+00:00,M965,48,4.092699044514375
2026-06-03 08:50:00+00:00,M475,1,3.9861637392558062
2026-06-03 09:00:00+00:00,M490,1,3.6280130488296627
2026-06-03 09:05:00+00:00,M029,1,5.0761719056800665
2026-06-03 09:05:00+00:00,M841,4,3.3463180561446433
2026-06-03 09:05:00+00:00,M965,44,3.5988959479626423
2026-06-03 09:10:00+00:00,M843,1,5.807053316353087
2026-06-03 09:30:00+00:00,M965,45,3.7223467221005757
2026-06-03 09:45:00+00:00,M965,43,3.4754451738247094
2026-06-03 10:10:00+00:00,M965,47,3.9692482703764416
2026-06-03 10:15:00+00:00,M475,2,8.14384733546669
2026-06-03 10:25:00+00:00,M475,2,8.14384733546669
2026-06-03 10:30:00+00:00,M475,5,20.616898124099347
2026-06-03 10:35:00+00:00,M475,5,20.616898124099347
2026-06-03 10:35:00+00:00,M965,40,3.1050928514109097
2026-06-03 11:00:00+00:00,M029,2,10.280636848059187
2026-06-03 11:20:00+00:00,M475,1,3.9861637392558062
2026-06-03 11:30:00+00:00,M475,1,3.9861637392558062
2026-06-03 12:25:00+00:00,M736,2,3.6390656569105078
2026-06-03 12:45:00+00:00,M475,1,3.9861637392558062
2026-06-03 12:55:00+00:00,M475,1,3.9861637392558062
2026-06-03 12:55:00+00:00,M841,4,3.3463180561446433
2026-06-03 13:15:00+00:00,M475,1,3.9861637392558062
2026-06-03 13:40:00+00:00,M474,1,11.742331665439213
2026-06-03 14:00:00+00:00,M475,1,3.9861637392558062
2026-06-03 14:00:00+00:00,M965,42,3.351994399686776
2026-06-03 14:05:00+00:00,M475,1,3.9861637392558062
2026-06-03 14:15:00+00:00,M475,1,3.9861637392558062
2026-06-03 14:15:00+00:00,M490,2,7.487149293327246
2026-06-03 14:30:00+00:00,M475,2,8.14384733546669
2026-06-03 14:55:00+00:00,M475,1,3.9861637392558062
2026-06-03 15:00:00+00:00,M516,7,3.7668751466468473
2026-06-03 15:15:00+00:00,M475,1,3.9861637392558062
2026-06-03 15:30:00+00:00,M475,1,3.9861637392558062
2026-06-03 15:45:00+00:00,M475,1,3.9861637392558062
2026-06-03 16:00:00+00:00,M419,1,12.950858562770918
2026-06-03 16:05:00+00:00,M843,1,5.807053316353087
2026-06-03 18:50:00+00:00,M475,1,3.9861637392558062
2026-06-03 18:55:00+00:00,M475,1,3.9861637392558062
2026-06-03 19:40:00+00:00,M475,1,3.9861637392558062
2026-06-03 21:15:00+00:00,M490,1,3.6280130488296627
2026-06-03 21:20:00+00:00,M490,1,3.6280130488296627
2026-06-03 21:25:00+00:00,M490,1,3.6280130488296627
2026-06-03 23:15:00+00:00,M490,1,3.6280130488296627
2026-06-04 00:50:00+00:00,M490,1,3.6280130488296627
2026-06-04 01:05:00+00:00,M029,1,5.0761719056800665
2026-06-04 01:15:00+00:00,M029,1,5.0761719056800665
2026-06-04 01:35:00+00:00,M164,1,8.28702251171813
2026-06-04 01:35:00+00:00,M475,1,3.9861637392558062
2026-06-04 01:40:00+00:00,M164,1,8.28702251171813
2026-06-04 01:40:00+00:00,M378,177,10.643270642999232
2026-06-04 01:40:00+00:00,M490,1,3.6280130488296627
2026-06-04 01:40:00+00:00,M658,177,11.184215907695686
2026-06-04 01:40:00+00:00,M786,180,9.919145035637667
2026-06-04 01:45:00+00:00,M965,42,3.351994399686776
2026-06-04 02:10:00+00:00,M904,5,3.3151017642218727
2026-06-04 02:25:00+00:00,M965,40,3.1050928514109097
2026-06-04 02:50:00+00:00,M029,1,5.0761719056800665
2026-06-04 02:50:00+00:00,M965,40,3.1050928514109097
2026-06-04 03:55:00+00:00,M336,1,9.86959171074772
2026-06-04 03:55:00+00:00,M965,42,3.351994399686776
2026-06-04 04:20:00+00:00,M965,42,3.351994399686776
2026-06-04 04:30:00+00:00,M336,1,9.86959171074772
2026-06-04 04:45:00+00:00,M843,1,5.807053316353087
2026-06-04 04:50:00+00:00,M029,1,5.0761719056800665
2026-06-04 05:05:00+00:00,M736,2,3.6390656569105078
2026-06-04 05:20:00+00:00,M843,1,5.807053316353087
2026-06-04 05:25:00+00:00,M965,44,3.5988959479626423
2026-06-04 05:50:00+00:00,M841,4,3.3463180561446433
2026-06-04 05:50:00+00:00,M965,42,3.351994399686776
